arrival_month_date,ed_visits,avg_ed_los_minutes,pct_long_stay
2015-01-01 00:00:00+00:00,1,111.0,0.0
2016-04-01 00:00:00+00:00,1,60.0,0.0
2016-05-01 00:00:00+00:00,1,10980.0,100.0
2016-06-01 00:00:00+00:00,2,60.0,0.0
2016-08-01 00:00:00+00:00,1,60.0,0.0
2016-10-01 00:00:00+00:00,2,60.0,0.0
2016-12-01 00:00:00+00:00,1,600.0,100.0
2017-01-01 00:00:00+00:00,1,60.0,0.0
2017-02-01 00:00:00+00:00,1,60.0,0.0
2017-03-01 00:00:00+00:00,1,60.0,0.0
2017-04-01 00:00:00+00:00,3,60.0,0.0
2017-06-01 00:00:00+00:00,1,1080.0,100.0
2017-07-01 00:00:00+00:00,1,540.0,100.0
2017-08-01 00:00:00+00:00,1,60.0,0.0
2017-09-01 00:00:00+00:00,2,60.0,0.0
2017-10-01 00:00:00+00:00,1,60.0,0.0
2018-01-01 00:00:00+00:00,2,60.0,0.0
2018-02-01 00:00:00+00:00,4,60.0,0.0
2018-04-01 00:00:00+00:00,1,300.0,100.0
2018-05-01 00:00:00+00:00,1,60.0,0.0
2018-06-01 00:00:00+00:00,1,60.0,0.0
2018-07-01 00:00:00+00:00,1,60.0,0.0
2018-08-01 00:00:00+00:00,3,102.67,0.0
2018-09-01 00:00:00+00:00,2,60.0,0.0
2018-10-01 00:00:00+00:00,3,60.0,0.0
2019-01-01 00:00:00+00:00,1,61.0,0.0
2019-02-01 00:00:00+00:00,1,60.0,0.0
2019-03-01 00:00:00+00:00,1,60.0,0.0
2019-04-01 00:00:00+00:00,1,60.0,0.0
2019-05-01 00:00:00+00:00,3,65.33,0.0
2019-06-01 00:00:00+00:00,3,4620.0,33.33
2019-07-01 00:00:00+00:00,1,120.0,0.0
2019-09-01 00:00:00+00:00,1,261.0,100.0
2019-10-01 00:00:00+00:00,2,10830.0,50.0
2020-01-01 00:00:00+00:00,3,60.0,0.0
2020-03-01 00:00:00+00:00,2,60.0,0.0
2020-04-01 00:00:00+00:00,1,60.0,0.0
2020-05-01 00:00:00+00:00,1,2340.0,100.0
2020-07-01 00:00:00+00:00,2,60.0,0.0
2020-08-01 00:00:00+00:00,1,60.0,0.0
2020-12-01 00:00:00+00:00,2,60.0,0.0
2021-01-01 00:00:00+00:00,4,135.0,25.0
2021-02-01 00:00:00+00:00,3,60.0,0.0
2021-03-01 00:00:00+00:00,3,60.0,0.0
2021-04-01 00:00:00+00:00,3,60.0,0.0
2021-05-01 00:00:00+00:00,2,60.0,0.0
2021-06-01 00:00:00+00:00,3,60.0,0.0
2021-07-01 00:00:00+00:00,2,60.0,0.0
2021-09-01 00:00:00+00:00,2,60.0,0.0
2021-10-01 00:00:00+00:00,2,60.0,0.0
2021-11-01 00:00:00+00:00,2,60.0,0.0
2021-12-01 00:00:00+00:00,2,60.0,0.0
2022-01-01 00:00:00+00:00,1,60.0,0.0
2022-02-01 00:00:00+00:00,1,60.0,0.0
2022-03-01 00:00:00+00:00,4,405.0,25.0
2022-05-01 00:00:00+00:00,1,420.0,100.0
2022-06-01 00:00:00+00:00,1,60.0,0.0
2022-08-01 00:00:00+00:00,3,82.67,0.0
2022-09-01 00:00:00+00:00,4,90.0,0.0
2022-10-01 00:00:00+00:00,1,60.0,0.0
2022-12-01 00:00:00+00:00,1,60.0,0.0
2023-02-01 00:00:00+00:00,2,60.0,0.0
2023-04-01 00:00:00+00:00,1,60.0,0.0
2023-06-01 00:00:00+00:00,2,306.0,50.0
2023-07-01 00:00:00+00:00,2,60.0,0.0
2023-09-01 00:00:00+00:00,2,60.0,0.0
2023-11-01 00:00:00+00:00,1,60.0,0.0
2024-03-01 00:00:00+00:00,3,60.0,0.0
2024-04-01 00:00:00+00:00,4,210.0,25.0
2024-05-01 00:00:00+00:00,1,60.0,0.0
2024-07-01 00:00:00+00:00,1,60.0,0.0
2024-08-01 00:00:00+00:00,2,60.0,0.0
2024-09-01 00:00:00+00:00,1,60.0,0.0
2024-10-01 00:00:00+00:00,2,60.0,0.0
2024-11-01 00:00:00+00:00,1,600.0,100.0
2024-12-01 00:00:00+00:00,1,60.0,0.0
2025-01-01 00:00:00+00:00,1,107.0,0.0
2025-02-01 00:00:00+00:00,1,60.0,0.0
2025-03-01 00:00:00+00:00,2,60.0,0.0
2025-04-01 00:00:00+00:00,2,60.0,0.0
2025-05-01 00:00:00+00:00,3,100.0,0.0
2025-06-01 00:00:00+00:00,2,60.0,0.0
2025-07-01 00:00:00+00:00,4,60.0,0.0
2025-10-01 00:00:00+00:00,3,60.0,0.0
2025-11-01 00:00:00+00:00,4,120.0,25.0
2025-12-01 00:00:00+00:00,2,60.0,0.0
2026-01-01 00:00:00+00:00,3,60.0,0.0
2026-04-01 00:00:00+00:00,2,60.0,0.0
2026-06-01 00:00:00+00:00,4,84.0,0.0
